TradeDate,StockCode,IndexWeight,ClosePrice,Volume,Amount,PE_TTM,PB,TotalMarketCap,AnnounceDate,ReportPeriod,ROE,Revenue_YoY,NetProfit_YoY
20231229,300347.SZ,0.166,693.4816,125697.68,698374.168,21.0199,2.2772,47956829553.4,20231028,20230930,9.2494,4.522,17.1342
20231229,300408.SZ,0.227,127.7536,130145.67,383342.657,40.1974,3.1778,56440847575.95,20231026,20230930,6.5523,3.8468,-8.0963
20231229,300413.SZ,0.109,43.7091,320155.85,808243.936,24.6521,2.3157,47142164538.0,20231025,20230930,9.0065,-0.4159,5.2061
20231229,300433.SZ,0.151,76.9963,353701.88,466130.895,19.7046,1.4647,65778609349.2,20231019,20230930,3.7059,7.0669,117.2275
20231229,300450.SZ,0.162,516.9822,213064.53,544050.347,13.4725,3.1955,40093773670.4,20231024,20230930,19.6331,31.8558,39.5369
20231229,300454.SZ,0.104,72.5948,39153.86,282868.591,87.8815,3.8292,30346294662.48,20231026,20230930,-6.9943,1.277,21.6932
20231229,300496.SZ,0.17,319.4029,47788.15,384370.148,50.0496,3.824,36820458808.12,20231021,20230930,6.4913,0.5747,-5.1782
20231229,300498.SZ,0.614,41.6104,355232.82,707879.81,1811.6553,3.8903,133439739192.02,20231026,20230930,-12.121,15.803,-760.7694
20231229,300628.SZ,0.086,546.2035,39509.03,116542.587,18.572,4.8585,37345739219.1,20231026,20230930,20.7236,-9.4561,-9.3656
20231229,300661.SZ,0.168,669.7475,30731.17,272367.578,157.0297,11.3464,41605182641.43,20231026,20230930,3.9825,-22.0188,-81.0802
20231229,300750.SZ,2.48,297.3977,226837.82,3707101.874,16.2181,3.9816,718187472189.36,20231020,20230930,18.0765,40.0955,77.0475
20231229,300751.SZ,0.104,608.1818,87742.16,1137757.458,40.605,5.2096,36079992620.19,20231025,20230930,10.6681,69.3526,3.8782
20231229,300759.SZ,0.149,66.3282,181834.59,528359.357,33.3516,4.4232,51779499329.88,20231030,20230930,10.1457,15.6355,18.5131
20231229,300760.SZ,1.014,308.106,22672.58,660021.397,31.0725,11.1471,352335469096.4,20231028,20230930,28.5872,17.2047,21.3762
20231229,300763.SZ,0.097,316.0566,139787.91,986799.347,25.2858,3.6112,28019271355.5,20231026,20230930,12.5197,11.3939,6.8437
20231229,300782.SZ,0.303,738.6099,39614.88,556979.634,83.3336,7.9418,75267944046.0,20231028,20230930,9.0202,1.8993,-16.8547
20231229,300896.SZ,0.183,540.2925,29740.18,880671.699,37.6883,10.459,63681238800.0,20231025,20230930,22.999,45.7119,43.7405
20231229,300919.SZ,0.095,49.4468,35557.83,174104.424,17.8331,1.7698,32908458180.39,20231025,20230930,7.8967,17.5215,27.8259
20231229,300957.SZ,0.066,69.1135,26906.21,183518.233,25.9424,4.9627,28876812000.0,20231030,20230930,10.1871,18.5125,11.9629
20231229,300979.SZ,0.046,55.504,13743.34,72451.822,20.0136,4.3007,61430880000.0,20231027,20230930,16.6449,-6.9318,-6.4842
20231229,300999.SZ,0.115,33.5512,51416.52,171544.887,64.9362,1.994,180972725471.68,20231027,20230930,2.3727,0.3634,-9.5276
20231229,301269.SZ,0.132,105.9901,19043.73,201166.239,235.4686,12.1014,57470386142.8,20231031,20230930,3.6464,32.4774,51.8951
20231229,600000.SH,0.447,102.8399,338014.29,224306.297,5.0216,0.3222,194311407741.52,20231028,20230930,3.9596,-7.5619,-30.8339
20231229,600009.SH,0.235,100.6713,85934.13,281199.944,-206.2122,2.034,81572418325.2,20231031,20230930,1.2465,91.814,123.6282
20231229,600010.SH,0.191,12.2635,2046784.49,298771.547,135.0093,1.2509,66291215682.08,20231027,20230930,0.901,-7.9422,163.6554
20231229,600011.SH,0.195,38.4115,462240.24,358085.49,13.2556,2.0923,120875318864.3,20231025,20230930,10.2145,4.0059,418.6877
20231229,600015.SH,0.206,30.7104,447887.64,252179.953,3.4515,0.3315,89441897990.16,20231028,20230930,5.6975,-2.541,5.1476
20231229,600016.SH,0.534,119.7626,587558.77,220162.437,4.6694,0.3112,163746245197.48,20231031,20230930,5.4999,-2.1106,-0.5951
20231229,600018.SH,0.079,7.7113,310038.52,152679.395,8.7533,0.9463,114092309275.0,20231031,20230930,9.7546,-6.1633,-26.9454
20231229,600019.SH,0.302,18.738,881679.07,522565.518,11.8455,0.671,131170757845.12,20231025,20230930,4.2478,-8.3505,-11.7643
20231229,600023.SH,0.107,8.3792,454622.42,208184.572,16.812,0.9181,61814257972.89,20231028,20230930,9.2773,14.1619,1217.3294
20231229,600025.SH,0.089,10.2408,409210.78,351841.482,20.6004,2.9027,155340000000.0,20231028,20230930,10.1375,-2.8503,5.2123
20231229,600028.SH,0.611,23.0906,1486294.86,822666.858,10.6371,0.8344,665968824184.68,20231027,20230930,6.6852,0.6774,-7.4749
20231229,600029.SH,0.179,9.7967,540829.76,311652.349,-7.5772,2.4667,104376420403.2,20231028,20230930,3.1666,70.3097,107.5055
20231229,600030.SH,1.144,128.3428,644382.37,1314516.775,14.2647,1.2139,301894538906.73,20231031,20230930,6.3672,-8.0583,-0.93
20231229,600031.SH,0.471,704.2583,481487.42,662923.404,24.7383,1.7236,116848643063.49,20231031,20230930,6.0971,-5.1506,12.512
20231229,600036.SH,1.982,158.9685,655773.45,1827818.811,4.8394,0.7868,701616104619.82,20231028,20230930,11.6349,-1.7196,6.5169
20231229,600039.SH,0.075,95.6749,131734.8,98658.152,5.0412,1.4685,65279680455.85,20231031,20230930,17.9808,3.3821,5.0544
20231229,600048.SH,0.409,243.728,754860.72,749216.034,6.3901,0.6068,118507389838.2,20231028,20230930,6.7023,23.1049,1.3269
20231229,600050.SH,0.481,7.5994,1801268.52,788458.312,17.3147,0.8785,139301486326.56,20231025,20230930,4.8048,6.7107,10.9158
20231229,600061.SH,0.1,64.2325,198198.99,133605.466,13.4162,0.8654,43306570426.9,20231028,20230930,4.6507,26.723,13.375
20231229,600085.SH,0.212,626.2064,85090.39,454563.218,40.6079,5.753,73647953069.4,20231031,20230930,11.3023,25.881,38.6713
20231229,600089.SH,0.401,762.2398,395217.95,544084.773,4.9092,1.1719,69727398317.4,20231028,20230930,15.7061,4.793,-15.3668
20231229,600104.SH,0.364,144.8833,281871.08,381200.995,10.6266,0.5529,158077232268.45,20231027,20230930,4.037,-0.4442,-9.8182
20231229,600111.SH,0.282,388.3726,197209.85,382190.735,25.5845,3.3792,69915373384.28,20231024,20230930,6.8134,-10.9827,-70.1941
20231229,600115.SH,0.191,5.3813,382213.39,148316.884,-7.2822,3.276,86490230691.6,20231028,20230930,-9.3978,138.5997,90.7277
20231229,600132.SH,0.093,382.4144,54810.23,365787.617,22.5622,15.0229,32159886107.1,20231031,20230930,64.0518,6.9405,13.6729
20231229,600150.SH,0.379,97.5082,375375.01,1098958.473,103.6572,2.7385,131668302635.52,20231031,20230930,5.4472,28.8047,74.8206
20231229,600176.SH,0.136,181.1676,248860.04,244741.999,10.4472,1.389,39350834036.24,20231024,20230930,9.5621,-29.0446,-51.5358
20231229,600183.SH,0.124,239.1348,148982.03,272475.111,34.9201,3.1492,43059092677.58,20231027,20230930,6.6168,-9.7153,-24.8793
20231229,600188.SH,0.157,128.7146,340669.94,672935.04,7.6874,2.8212,147373933963.2,20231028,20230930,19.5938,-20.1524,-46.7984
20231229,600196.SH,0.183,362.373,105841.6,264895.692,18.792,1.4568,66890139736.33,20231031,20230930,5.0453,-2.9177,-6.2857
20231229,600219.SH,0.119,21.8153,613777.43,179977.127,12.2556,0.7294,34423145373.12,20231028,20230930,4.6414,-18.238,-24.8093
20231229,600233.SH,0.122,64.5919,98124.0,121087.601,11.1121,1.4954,42304950829.66,20231027,20230930,9.6751,4.982,-4.062
20231229,600276.SH,1.162,2924.3773,242380.46,1094134.425,68.5865,7.2791,288522272853.02,20231026,20230930,8.9691,6.6999,9.4659
20231229,600309.SH,0.833,3105.3782,136951.66,1058322.144,15.735,2.8628,241195335809.32,20231014,20230930,15.7709,1.636,-6.6509
20231229,600332.SH,0.116,46.0549,71659.49,204831.351,10.8553,1.3415,46497621141.4,20231031,20230930,11.3638,6.1647,9.1206
20231229,600346.SH,0.16,140.7166,115476.15,151346.706,47.9805,1.5787,92704944181.62,20231028,20230930,10.2173,1.6173,-6.3444
