TradeDate,StockCode,IndexWeight,ClosePrice,Volume,Amount,PE_TTM,PB,TotalMarketCap,AnnounceDate,ReportPeriod,ROE,Revenue_YoY,NetProfit_YoY,momentum_5_raw,momentum_20_raw,momentum_60_raw,reversal_5_raw,volatility_20_raw,downside_vol_20_raw,drawdown_20_raw,turnover_proxy_20_raw,illiq_20_raw,roe_raw,size_log_mcap_raw,ep_ttm_raw,bp_inv_raw,revenue_yoy_raw,netprofit_yoy_raw
20231229,001289.SZ,0.017,20.0642,34176.43,67429.097,28.3009,2.4092,166046690278.84,20231027,20230930.0,8.7422,-6.9878,14.0991,0.020606233245672456,0.016418356543279833,-0.004524841977832317,-0.020606233245672456,0.013400221285732308,0.008227585189980114,-0.0050234311075848526,2.620181718450195e-07,2.475994238123426e-07,8.7422,25.83553485249488,0.03533456533184457,0.41507554374896233,-6.9878,14.0991
20231229,001979.SZ,0.199,12.4183,342417.7,324396.71,17.0121,0.8962,86349768766.81,20231031,20230930.0,3.4695,-15.2601,27.4472,0.014915248696448113,-0.07114701372527021,-0.23083164551473812,-0.014915248696448113,0.021935428847949127,0.01284098248330538,-0.04412851380892269,4.671082437222509e-06,4.365438612385383e-08,3.4695,25.181671963675758,0.05878169067898731,1.1158223610801161,-15.2601,27.4472
20231229,002001.SZ,0.151,744.8331,121739.95,207057.49,19.3407,2.1662,52421788757.76,20231027,20230930.0,8.7964,-7.5385,-30.2168,-0.01681166774093623,-0.0017657293313174671,0.04433486831211253,0.01681166774093623,0.007913084850655743,0.0048484656007312795,-0.02078530107344667,4.018199844779447e-06,3.301717402303738e-08,8.7964,24.682588157833685,0.051704436757718186,0.46163789123811283,-7.5385,-30.2168
20231229,002007.SZ,0.14,944.2511,108764.03,240840.581,32.5604,3.6855,40470921892.38,20231030,20230930.0,10.0066,8.6231,18.508,0.009119954379388506,-0.09451723512634225,-0.0031531677522615986,-0.009119954379388506,0.012215051373906325,0.009609681606732508,-0.07599170414233147,5.728493007972267e-06,4.292822826952099e-08,10.0066,24.42384957522336,0.03071215341334873,0.271333604666938,8.6231,18.508
20231229,002027.SZ,0.368,92.816,866611.12,546453.525,21.4192,5.5225,91274702268.32,20231025,20230930.0,21.5198,17.7063,69.058,0.0639729559020259,0.0031754541072306353,-0.11608355379818558,-0.0639729559020259,0.019163577041867667,0.009705400600303895,-0.0015791262741655654,7.369335496278006e-06,2.601576414708995e-08,21.5198,25.237139502563537,0.046687084484948085,0.1810774105930285,17.7063,69.058
20231229,002049.SZ,0.264,417.6389,121914.81,822890.806,21.8552,5.2216,57306777335.45,20231028,20230930.0,19.4784,14.3057,-0.4793,0.042665149417275394,-0.06862746628493477,-0.22649077885456848,-0.042665149417275394,0.01829942196255028,0.010994039984970644,-0.05756593941724375,1.1580653825879816e-05,2.1897702791513573e-08,19.4784,24.771684731778386,0.04575570116036458,0.19151218017465912,14.3057,-0.4793
20231229,002050.SZ,0.379,441.811,355409.46,1031116.203,35.3389,6.4419,109738896729.0,20231031,20230930.0,14.32,21.6475,32.6843,0.01977101655805602,0.03194102620219419,-0.008307741067472563,-0.01977101655805602,0.02016563374444702,0.010494702856905028,-0.0037274728050078476,5.575944881700055e-06,2.578783882074465e-08,14.32,25.421369715027524,0.028297428612661966,0.1552337043418867,21.6475,32.6843
20231229,002074.SZ,0.132,97.1415,138670.64,298195.361,84.5892,1.5762,38371097321.5,20231028,20230930.0,1.2229,50.9649,94.6547,0.05392122293767598,-0.008302809050705129,-0.0732762527129196,-0.05392122293767598,0.024334574701169284,0.01134627437611249,-0.05577490581223099,7.027902267520909e-06,7.12672943043014e-08,1.2229,24.370570339219594,0.011821840140348885,0.634437254155564,50.9649,94.6547
20231229,002129.SZ,0.291,83.1831,932146.17,1468003.441,7.8983,1.4438,63234330689.72,20231026,20230930.0,15.2013,-2.3891,23.7456,0.04685502139441233,-0.042253050848043205,-0.3310518532100354,-0.04685502139441233,0.024205884001808436,0.01028479306758271,-0.02857072787914461,1.715683776848376e-05,1.6222354899508192e-08,15.2013,24.870113197731467,0.1266095235683628,0.6926167059149467,-2.3891,23.7456
20231229,002142.SZ,0.459,46.179,389512.31,783210.872,5.2629,0.779,132798210827.12,20231031,20230930.0,10.6635,5.4541,12.5531,0.027069585582459865,-0.11096265692773,-0.25158138863993285,-0.027069585582459865,0.018045797941854534,0.012438495205720046,-0.08382634780434961,5.705096418399362e-06,1.6853198932292795e-08,10.6635,25.612096601210638,0.19000931045621236,1.2836970474967908,5.4541,12.5531
20231229,002179.SZ,0.238,564.5582,75570.29,293262.685,24.8544,4.1582,82681807806.0,20231025,20230930.0,15.522,23.3269,26.6369,0.04417679447651368,-0.015648614587612242,-0.07801417049835169,-0.04417679447651368,0.026612350999466624,0.01814195712212323,-0.022801261209364987,5.69907812831544e-06,3.850439029188325e-08,15.522,25.13826543661528,0.04023432470709412,0.2404886729835025,23.3269,26.6369
20231229,002180.SZ,0.129,109.6643,139804.05,317574.5,61.1945,2.0052,32053361309.79,20231028,20230930.0,1.3338,-5.4314,-86.306,-0.006149019238228526,-0.1794781817542438,-0.1249034447097277,0.006149019238228526,0.02412562990583802,0.015218831653386711,-0.1785845632984161,8.09317270525378e-06,8.117529088118036e-08,1.3338,24.190667891874405,0.016341337865331037,0.4987033712347896,-5.4314,-86.306
20231229,002202.SZ,0.127,65.4169,255334.1,203206.685,26.4198,0.9512,33800541176.0,20231027,20230930.0,3.3209,12.0619,-46.687,0.05401986974777717,-0.06213270977925667,-0.13326054956164124,-0.05401986974777717,0.01456362697858694,0.007612019021383804,-0.05882276772739958,5.366756684001089e-06,6.331158444218731e-08,3.3209,24.243742650431468,0.037850400078728835,1.0513036164844407,12.0619,-46.687
20231229,002230.SZ,0.495,629.3564,333603.28,1545400.716,446.8755,6.5775,107401662916.14,20231020,20230930.0,0.6072,-0.3717,-76.3556,0.00913835356987791,-0.016956411789155412,-0.08448488597163195,-0.00913835356987791,0.02242064677541687,0.0137338836554628,-0.06604917367672969,1.701246180820785e-05,1.0108917183901366e-08,0.6072,25.39984150229181,0.002237759733975123,0.15203344735841887,-0.3717,-76.3556
20231229,002236.SZ,0.21,830.8298,250122.81,460441.754,18.8686,1.9144,60782952865.5,20231021,20230930.0,8.8396,5.2268,52.9815,0.03593485215951886,-0.07146449429040447,-0.15935933499087807,-0.03593485215951886,0.020527108724798054,0.012824456687728981,-0.07239813548441121,8.500526593356912e-06,3.301689443169346e-08,8.8396,24.830575206102925,0.052998102667924485,0.5223568742164647,5.2268,52.9815
20231229,002241.SZ,0.29,490.6863,1902286.61,3899313.428,-59.9459,2.3429,71862671232.0,20231027,20230930.0,2.9657,-0.2764,-76.768,0.1362900702796621,0.14997261502918136,0.33143222910282244,-0.1362900702796621,0.029318378663718902,0.00978321837631663,0.0,1.805321591225056e-05,1.5473474413741086e-08,2.9657,24.998022790665637,-0.016681708006719392,0.4268214605830381,-0.2764,-76.768
20231229,002252.SZ,0.245,195.3288,495756.92,397577.023,25.7591,1.7832,53163846064.0,20231025,20230930.0,6.0977,19.8691,11.4598,0.0,-0.01960796123580444,0.14942566613313235,-0.0,0.011851135711207557,0.008003988200564168,-0.055489658580600176,8.734465091853185e-06,2.0166985064819914e-08,6.0977,24.696644417008116,0.03882123210826465,0.5607895917451773,19.8691,11.4598
